"chunk_fr","chunk_en","topic_slug","source","source_type","register","exam_tag","cefr_level","review_status","review_notes","source_file","extractor","dup_count"
"avoir chaud","to feel hot","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","regex","1"
"avoir envie","to want","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","regex","1"
"avoir froid","to feel cold","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","regex","1"
"B1 (noun repetition) J’aime Paris. Je vais à Paris chaque année. J’ai des amis à Paris","B2+ (pronoun replacement) J’aime Paris. J’y vais chaque année et j’y ai beaucoup d’amis","OTHER_IN_SCOPE_TEACHABLE","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"B1 J’ai parlé à mon patron. Mon patron a dit oui","B2+ J’ai parlé à mon patron. Il m’a dit oui. / Je lui ai parlé. Il a dit oui","OTHER_IN_SCOPE_TEACHABLE","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"B1 Tu as besoin de ce livre ? Oui, j’ai besoin de ce livre","B2+ Tu as besoin de ce livre ? Oui, j’en ai besoin","OTHER_IN_SCOPE_TEACHABLE","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"Bare noun (if non-specific) J'ai besoin D'argent","Article after ""need"" ""I need THE money","OTHER_IN_SCOPE_TEACHABLE","French_Articles_Course.docx","chadi_authored","","","","","","French_Articles_Course.docx","table","2"
"beaucoup d'opportunités","many opportunities","OTHER_IN_SCOPE_TEACHABLE","09022025.docx","chadi_authored","semi_formel","","B1","","","09022025.docx","haiku","1"
"Bien que... / Quoique","Bien qu’il soit fatigué, il continue","OTHER_IN_SCOPE_TEACHABLE","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"blanche","blanc","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"Body parts = definite article","Possessive for body","OTHER_IN_SCOPE_TEACHABLE","French_Articles_Interference_Guide.docx","chadi_authored","","","","","","French_Articles_Interference_Guide.docx","table","1"
"C'est un ami","Il est content","OTHER_IN_SCOPE_TEACHABLE","French_Articles_Course.docx","chadi_authored","","","","","","French_Articles_Course.docx","table","2"
"C'est un vrai moulin à paroles / Il est bavard comme une pie","Il parle tellement — une fois qu'il commence, on ne peut pas l'arrêter","OTHER_IN_SCOPE_TEACHABLE","Egor_SExprimer_Methode_Eureka.docx","chadi_authored","","","","","","Egor_SExprimer_Methode_Eureka.docx","table","1"
"C'est une musicienne douée","Elle est intelligente","OTHER_IN_SCOPE_TEACHABLE","French_Articles_Course.docx","chadi_authored","","","","","","French_Articles_Course.docx","table","2"
"C'était juste une conversation décontractée — on sautait de sujet en sujet","C'était une conversation à bâtons rompus — on digressait d'un sujet à l'autre","OTHER_IN_SCOPE_TEACHABLE","Egor_SExprimer_Methode_Eureka.docx","chadi_authored","","","","","","Egor_SExprimer_Methode_Eureka.docx","table","1"
"Ce / Cet / Cette / Ces","need to be followed with a noun","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","regex","1"
"ce contre quoi","What I'm fighting against","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"Ce dont il est question","What's being discussed","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"Ce dont il s'agit","What it's about","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"Ce dont j'ai besoin","What I need","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"Ce dont j'ai peur","What I'm afraid of","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"Ce dont je me souviens","What I remember","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"Ce dont je parle","What I'm talking about","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"Ce dont je suis fier","What I'm proud of","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"Ce dont tu rêves","What you dream of","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"ce en quoi","What I believe in","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"ce grâce à quoi","What enabled me to succeed","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"ce jour-là (that day","aujourd'hui (today","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"ce matin-là (that morning","ce matin (this morning","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"ce mois-là (that month","ce mois-ci (this month","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"ce par quoi","What we need to start with","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"ce pour quoi","What I'm working for","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"Ce qu'à Dieu ne plaise !","God forbid!","OTHER_IN_SCOPE_TEACHABLE","Annexe_Subjonctif_Exemples_Exhaustifs_Egor.docx","chadi_authored","","","","","","Annexe_Subjonctif_Exemples_Exhaustifs_Egor.docx","table","1"
"Ce qui me dérange","What’s bothering me is .. ?","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"Ce qui m’énerve, c’est qu’on ne fait rien","Ce qui/ce que + c’est","OTHER_IN_SCOPE_TEACHABLE","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"ce sans quoi","That without which nothing works","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"ce soir-là (that evening","ce soir (this evening","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"ce sur quoi","What I'm counting on","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"Celle","Celui","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"Celle-ci","Celui-ci","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"Celle-là","Celle","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"Celles","Ceux","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"Celles-ci","Ceux-ci","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"Celles-là","Celles","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"Celui en rouge est le mien = The one in red is mine Ceux qui parlent français = Those who speak French Ceux qui ne parlent pas français = Those who don’t speak French","Celui","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"Celui-là","Celui","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"cette année-là (that year","cette année (this year","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"Cette querelle est le ferment de la discorde dans la famille","","OTHER_IN_SCOPE_TEACHABLE","correction_devoir.docx","chadi_authored","","","","","","correction_devoir.docx","table","1"
"Ceux-là","Ceux","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"Choisi","Choisir","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"choisir","to choose","OTHER_IN_SCOPE_TEACHABLE","Jack-French-Session1-20Jan2025.docx","chadi_authored","","","","","","Jack-French-Session1-20Jan2025.docx","table","2"
"COD (Complément d'Objet Direct","Direct Object Pronouns: me, te, le, la, nous, vous, les","OTHER_IN_SCOPE_TEACHABLE","French_Object_Pronouns.docx","chadi_authored","","","","","","French_Object_Pronouns.docx","regex","1"
"COI (Complément d'Objet Indirect","Indirect Object Pronouns: me, te, lui, nous, vous, leur","OTHER_IN_SCOPE_TEACHABLE","French_Object_Pronouns.docx","chadi_authored","","","","","","French_Object_Pronouns.docx","regex","1"
"COMBIEN how much/how many","Combien est-ce que ça coûte ?","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"COMMENT how","Comment est-ce que tu fais ?","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"Compris","Comprendre","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"Compromis","Compromettre","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"Contenu","Contenir","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"contrat de travail","employment contract","OTHER_IN_SCOPE_TEACHABLE","Réussir_la_tache_2.docx","chadi_authored","formel","","B1","","","Réussir_la_tache_2.docx","haiku","1"
"critères importants pour attirer","important criteria for attracting","OTHER_IN_SCOPE_TEACHABLE","Exercices_21022025.docx","chadi_authored","formel","","B2","","","Exercices_21022025.docx","haiku","1"
"C’est LUI qui m’a dit ça. C’est CE livre que je cherche","Cleft sentence","OTHER_IN_SCOPE_TEACHABLE","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"C’est quand même impressionnant","Despite everything (spoken","OTHER_IN_SCOPE_TEACHABLE","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"C’est... disons que c’est une situation compliquée. It’s... let’s say it’s a complicated situation","Disons que... / Comment dire... Let’s say... / How shall I put it","OTHER_IN_SCOPE_TEACHABLE","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"D'accord","okay","OTHER_IN_SCOPE_TEACHABLE","Introduction_to_colloquial_french.docx","chadi_authored","semi_formel","","A1","","","Introduction_to_colloquial_french.docx","haiku","2"
"d'autant plus que","all the more because","OTHER_IN_SCOPE_TEACHABLE","Notes de cours pour Egor.docx","chadi_authored","","","","","","Notes de cours pour Egor.docx","regex","2"
"d'autant plus/moins (que","all the more/less (because","OTHER_IN_SCOPE_TEACHABLE","AUTANT.docx","chadi_authored","","","","","","AUTANT.docx","table","1"
"d'autrefois","from days gone by / of old","OTHER_IN_SCOPE_TEACHABLE","03022025.docx","chadi_authored","semi_formel","","B1","","","03022025.docx","haiku","1"
"Dans ce pays, les journalistes sont réduits au silence","Dans ce pays, la presse est muselée / bâillonnée","OTHER_IN_SCOPE_TEACHABLE","Egor_SExprimer_Methode_Eureka.docx","chadi_authored","","","","","","Egor_SExprimer_Methode_Eureka.docx","table","1"
"de crainte que","Elle se tait de crainte qu'on ne l'entende","OTHER_IN_SCOPE_TEACHABLE","Annexe_Subjonctif_Exemples_Exhaustifs_Egor.docx","chadi_authored","","","","","","Annexe_Subjonctif_Exemples_Exhaustifs_Egor.docx","table","1"
"de peur que","Il court de peur qu'on ne le voie","OTHER_IN_SCOPE_TEACHABLE","Annexe_Subjonctif_Exemples_Exhaustifs_Egor.docx","chadi_authored","","","","","","Annexe_Subjonctif_Exemples_Exhaustifs_Egor.docx","table","1"
"De quoi","ce dont","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"De quoi est ce que","ce dont","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"De quoi t’es-tu déjà servi(e) pour résoudre un problème technique ?","What have you used to solve a technical problem before?","OTHER_IN_SCOPE_TEACHABLE","15112024.docx","chadi_authored","","","","","","15112024.docx","regex","1"
"Definite article (le/la/les) J'aime LA musique","No article for categories ""I love music","OTHER_IN_SCOPE_TEACHABLE","French_Articles_Course.docx","chadi_authored","","","","","","French_Articles_Course.docx","table","2"
"Definite article Je ferme LES yeux","Possessive for body parts ""I close MY eyes","OTHER_IN_SCOPE_TEACHABLE","French_Articles_Course.docx","chadi_authored","","","","","","French_Articles_Course.docx","table","2"
"Demander une date de fin","« C'est prévu pour combien de temps encore ? Si je sais que ça se termine bientôt, c'est plus facile. »","OTHER_IN_SCOPE_TEACHABLE","DELF_B1_Complet.docx","chadi_authored","","","","","","DELF_B1_Complet.docx","table","2"
"desservi par les transports en commun","served by public transport","OTHER_IN_SCOPE_TEACHABLE","Réussir_la_tache_2.docx","chadi_authored","semi_formel","","B1","","","Réussir_la_tache_2.docx","haiku","1"
"deuxième année de doctorat","second year of doctoral studies","OTHER_IN_SCOPE_TEACHABLE","09022025.docx","chadi_authored","formel","","B2","","","09022025.docx","haiku","1"
"Disons qu'il soit d'accord","Let's say he agrees","OTHER_IN_SCOPE_TEACHABLE","Annexe_Subjonctif_Exemples_Exhaustifs_Egor.docx","chadi_authored","","","","","","Annexe_Subjonctif_Exemples_Exhaustifs_Egor.docx","table","1"
"DONT","Le projet dont je parle","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"DONT (verb requires DE","QUE (no preposition","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"dont je ne connais pas la réponse","whose answer I don't know","OTHER_IN_SCOPE_TEACHABLE","Correction_devoir1.docx","chadi_authored","semi_formel","","B1","","","Correction_devoir1.docx","haiku","1"
"dont je t'ai parlé","of whom I spoke to you","OTHER_IN_SCOPE_TEACHABLE","Correction_devoir1.docx","chadi_authored","semi_formel","","B1","","","Correction_devoir1.docx","haiku","1"
"Du coup","So / As a result","OTHER_IN_SCOPE_TEACHABLE","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","4"
"DUQUEL","Le bureau à côté duquel","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"D’ailleurs","Besides / By the way","OTHER_IN_SCOPE_TEACHABLE","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"D’autant plus que","All the more so because","OTHER_IN_SCOPE_TEACHABLE","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"d’où","Origin (from where","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"Elle a besoin d'aide ?","Oui, elle a besoin. → _______________","OTHER_IN_SCOPE_TEACHABLE","French_Pronouns_Extra_Exercises.docx","chadi_authored","","","","","","French_Pronouns_Extra_Exercises.docx","regex","1"
"Elle a de la faconde / Elle a l'art de convaincre / C'est une oratrice née","Elle a un vrai don pour la persuasion","OTHER_IN_SCOPE_TEACHABLE","Egor_SExprimer_Methode_Eureka.docx","chadi_authored","","","","","","Egor_SExprimer_Methode_Eureka.docx","table","1"
"Elle a de la patience","Elle est d'une patience !","OTHER_IN_SCOPE_TEACHABLE","Articles_Valeurs_Discursives.docx","chadi_authored","","","","","","Articles_Valeurs_Discursives.docx","table","1"
"Elle a fait des commentaires vraiment inappropriés","Elle a tenu des propos déplacés pendant le conseil","OTHER_IN_SCOPE_TEACHABLE","Egor_SExprimer_Methode_Eureka.docx","chadi_authored","","","","","","Egor_SExprimer_Methode_Eureka.docx","table","1"
"Elle a parlé ouvertement de ses difficultés — vraiment du cœur","Elle nous a parlé à cœur ouvert / Elle a joué franc jeu avec nous","OTHER_IN_SCOPE_TEACHABLE","Egor_SExprimer_Methode_Eureka.docx","chadi_authored","","","","","","Egor_SExprimer_Methode_Eureka.docx","table","1"
"Elle a répondu froidement que ce n'était pas son problème","Elle a répliqué sèchement / d'un ton cassant que cela ne la concernait pas","OTHER_IN_SCOPE_TEACHABLE","Egor_SExprimer_Methode_Eureka.docx","chadi_authored","","","","","","Egor_SExprimer_Methode_Eureka.docx","table","1"
"Elle adore le chocolat","Elle prend du chocolat","OTHER_IN_SCOPE_TEACHABLE","French_Articles_Course.docx","chadi_authored","","","","","","French_Articles_Course.docx","table","2"
"Elle est contente d'être là","Elle est contente qu'elle soit là","OTHER_IN_SCOPE_TEACHABLE","Annexe_Subjonctif_Exemples_Exhaustifs_Egor.docx","chadi_authored","","","","","","Annexe_Subjonctif_Exemples_Exhaustifs_Egor.docx","table","1"
"Elle est si rapide — elle a toujours la réponse parfaite instantanément","Elle répond du tac au tac — elle a une repartie extraordinaire","OTHER_IN_SCOPE_TEACHABLE","Egor_SExprimer_Methode_Eureka.docx","chadi_authored","","","","","","Egor_SExprimer_Methode_Eureka.docx","table","1"
"Elle est vraiment directe — elle dit ce qu'elle pense, sans filtre","Elle n'a pas la langue dans sa poche — elle ne mâche pas ses mots","OTHER_IN_SCOPE_TEACHABLE","Egor_SExprimer_Methode_Eureka.docx","chadi_authored","","","","","","Egor_SExprimer_Methode_Eureka.docx","table","1"
"Elle montre les photos à Jean","Elle lui montre les photos","OTHER_IN_SCOPE_TEACHABLE","French_Object_Pronouns.docx","chadi_authored","","","","","","French_Object_Pronouns.docx","table","1"
"Elle sait tenir son public en haleine — tout le monde retenait son souffle","Elle sait raconter une histoire — tout le monde était sur le bord de son siège","OTHER_IN_SCOPE_TEACHABLE","Egor_SExprimer_Methode_Eureka.docx","chadi_authored","","","","","","Egor_SExprimer_Methode_Eureka.docx","table","1"
"en admettant que","admitting that","OTHER_IN_SCOPE_TEACHABLE","Annexe_Subjonctif_Exemples_Exhaustifs_Egor.docx","chadi_authored","","","","","","Annexe_Subjonctif_Exemples_Exhaustifs_Egor.docx","table","1"
"en attendant que","while waiting for","OTHER_IN_SCOPE_TEACHABLE","Annexe_Subjonctif_Exemples_Exhaustifs_Egor.docx","chadi_authored","","","","","","Annexe_Subjonctif_Exemples_Exhaustifs_Egor.docx","table","2"
"en faire autant","to do the same","OTHER_IN_SCOPE_TEACHABLE","AUTANT.docx","chadi_authored","","","","","","AUTANT.docx","table","1"
"en moyenne","on average","OTHER_IN_SCOPE_TEACHABLE","13012025.docx","chadi_authored","semi_formel","","A2","","","13012025.docx","haiku","1"
"en parallèle","in parallel","OTHER_IN_SCOPE_TEACHABLE","13012025.docx","chadi_authored","semi_formel","","B1","","","13012025.docx","haiku","1"
"engendrer / donner naissance à","to generate / to give birth to","OTHER_IN_SCOPE_TEACHABLE","Cause_Consequence_Methode_Eureka.docx","chadi_authored","","","","","","Cause_Consequence_Methode_Eureka.docx","table","1"
"Entrer (to enter","Sortir (to go out","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"Entré","Entrer","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"envisager de quitter son poste","to consider leaving one's position","OTHER_IN_SCOPE_TEACHABLE","Exercices_21022025.docx","chadi_authored","semi_formel","","B1","","","Exercices_21022025.docx","haiku","1"
"essayent de parler","try to speak","OTHER_IN_SCOPE_TEACHABLE","09022025.docx","chadi_authored","informel","","A2","","","09022025.docx","haiku","1"
"Est ce que","Si = if","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"Est ce que tu as eu un vélo ? J’ai eu un vélo J’en ai eu un. Est ce que tu as eu un t-shirt ? Oui, j’ai eu un t-shirt. Oui, j’en ai eu beaucoup. = Yes, I've had many","Est ce que tu as un vélo ? J’ai un vélo J’en ai un. = I have one. Est ce que tu as un t-shirt ? Oui, j’ai beaucoup de t-shirt. Oui, j’en ai beaucoup","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"Est ce que tu as parlé à ton ami ? COI : Oui, je lui ai parlé PT : Oui, j’ai parlé à lui Est ce que tu as parlé à ton amie ? COI : Je lui ai parlée. PT : J’ai parlé à elle","Est ce que tu parles à ton ami (m)? Oui, j’y parle COI : (before) Oui, je lui parle PT : (after) Oui, je parle à lui Est ce que tu parles à ton amie (f) ? COI : Oui, je lui parle PT : Oui, je parle à elle Est ce que tu parles à tes amis ? COI : Oui, je leur parle. PT : Oui, je parle à eux","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"Est ce que tu as regardé le téléphone ? Oui, je l’ai regardé. Est ce que tu as attendu le bus ? Je l'ai attendu","Est ce que tu regardes le téléphone ? = Are you looking at your phone ? - I am looking at it : Oui, je regarde [not a full answer] Oui, je le regarde Est ce que tu attends le bus ? = Oui, je l’attends","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"Exception : plusieurs = pas de « de »","plusieurs questions ✔","OTHER_IN_SCOPE_TEACHABLE","cours_articles_11_02_2026.docx","chadi_authored","","","","","","cours_articles_11_02_2026.docx","regex","1"
"Explique la différence entre un livre et une livre","Explain the difference between ""un livre"" and ""une livre","OTHER_IN_SCOPE_TEACHABLE","15112024.docx","chadi_authored","","","","","","15112024.docx","regex","1"
"faire la synthèse de","_______________________","OTHER_IN_SCOPE_TEACHABLE","Notes de cours pour Egor.docx","chadi_authored","","","","","","Notes de cours pour Egor.docx","table","2"
"faire preuve d'indulgence","to show leniency","OTHER_IN_SCOPE_TEACHABLE","Le_Comportement_Complete_Guide.docx","chadi_authored","","","","","","Le_Comportement_Complete_Guide.docx","table","1"
"faire preuve de","_______________________","OTHER_IN_SCOPE_TEACHABLE","Notes de cours pour Egor.docx","chadi_authored","","","","","","Notes de cours pour Egor.docx","table","2"
"faire preuve de sang-froid","_______________________","OTHER_IN_SCOPE_TEACHABLE","Notes de cours pour Egor.docx","chadi_authored","","","","","","Notes de cours pour Egor.docx","table","2"
"faute de quoi","_______________________","OTHER_IN_SCOPE_TEACHABLE","Notes de cours pour Egor.docx","chadi_authored","","","","","","Notes de cours pour Egor.docx","table","2"
